,logFC,AveExpr,t,P.Value,adj.P.Val,B
ZNF333,0.985197126054389,4.08764096829852,14.2447878446475,5.56153848913146E-22,1.23849900614468E-17,38.8338310520286
NOL10,0.676823523939351,4.91452816848601,11.7548497453322,5.84531532478389E-18,4.33897756558708E-14,30.1383013954908
CLPS,0.546474674173398,5.4829013331174,11.4926829821381,1.62015252890677E-17,9.01979416655621E-14,29.1726592585073
LINC02871,0.607398901485137,4.23598180763041,11.1176188353872,7.06198853329758E-17,3.09157104564704E-13,27.7757043313948
LCE1B,0.891594184478007,4.38641345033372,10.7795821150326,2.69746107299982E-16,6.67441784829256E-13,26.5016459304892
MYCNOS,0.716269434838629,5.51207955600364,10.023021703964,5.64784342022457E-15,1.14338022840892E-11,23.6025120347987
HS3ST5,0.663989318704034,5.14510513261412,9.84957782948506,1.14274088801907E-14,2.00734133577381E-11,22.929404994092
MYL2,0.579995062687769,4.27184032739235,9.8434033226481,1.17182798352237E-14,2.00734133577381E-11,22.9053893032809
LINC01561,0.715914158463344,5.94813135371756,9.76898926860663,1.58682703394913E-14,2.52407508707237E-11,22.6156753651589
STAU2-AS1,0.644614809880681,5.00650766001104,9.10336024776809,2.43333725545897E-13,2.85199933377977E-10,20.00322389673
CTAGE11P,0.609073324733766,4.37494331792618,8.99407270325804,3.8199324452237E-13,3.74328523643808E-10,19.5711408872625
RNASE11-AS1,0.58732973633027,4.69131050865702,8.88776840091175,5.92687810045327E-13,5.27942593675975E-10,19.1501402283314
RBX1P2,0.511675667999887,4.09965090652608,8.79486284439236,8.70454804106255E-13,7.45544539717008E-10,18.7816718302165
PARM1-AS1,0.565105438702254,4.28959486358019,8.22025996787586,9.44389862128398E-12,6.784070270883E-09,16.4942529909839
GRID1,0.653541933603981,4.97919666235392,8.1955530832856,1.04652986485904E-11,7.26440698158911E-09,16.3956626367403
LINC02483,0.568517527629845,4.03861382147406,8.1211620840971,1.42580715680214E-11,8.10372705341396E-09,16.0987440785724
