,logFC,AveExpr,t,P.Value,adj.P.Val,B
IL5RA,0.770251108145651,3.91508950002451,14.1063785942856,2.9745197877896E-16,1.65598952885716E-12,26.5676717491835
SIK2,1.13441931011676,4.5860291048305,13.2046788241097,2.21112946676288E-15,7.03423458504893E-12,24.6934870637128
HBB,0.750621250117389,4.67517993047796,11.7481554218138,6.89693503780877E-14,1.39625314869967E-10,21.4436997905305
DLGAP2-AS1,0.65272185504709,3.97836922538742,11.5484841013718,1.12784799441412E-13,1.93200361443138E-10,20.975832856094
FBXW8,0.924409699525262,4.1810678971136,11.483366111351,1.32550167084224E-13,2.10839976485612E-10,20.8220548911549
MIR670HG,0.69731260446784,4.44272533866342,11.4486024256285,1.44515612022458E-13,2.14547877608541E-10,20.7397181009292
CASC23,0.63083629325063,4.64752210996296,11.2897061135186,2.14942810340643E-13,2.81562437851517E-10,20.3612317090806
CCDC138,1.02834898875424,4.14031559396269,10.9047349699545,5.75576216522236E-13,6.76926425725267E-10,19.4203214417877
MYO1H,0.584368322702393,3.14372394315457,10.8995520514327,5.77556337903816E-13,6.76926425725267E-10,19.4168799984419
MIR3681HG,0.589329127814011,3.40437183581289,10.7827164387867,7.79468858642668E-13,8.26571048243504E-10,19.129909510231
TUBB1,0.583381563165133,3.95626637368831,10.3477920271066,2.41683484187295E-12,1.85587914116099E-09,18.0446509057142
MYCNUT,0.520388974309962,4.38829107290201,10.114864392008,4.4755504644448E-12,3.11456354039754E-09,17.4523893454781
ARF1P1,0.793501321852416,4.24653988425517,9.845065864038,9.21828886117376E-12,5.7022798513744E-09,16.7567581727407
SPATA3-AS1,0.666600873936832,4.6158596758091,9.74973504848009,1.19265861245372E-11,6.83728705893626E-09,16.5085018523909
CILK1,1.27156829599418,4.75601974432728,9.76253733918091,1.19742330279094E-11,6.83728705893626E-09,16.5058746733168
ZNF84-DT,0.541051571426112,4.03711483411429,9.71487754906077,1.31083499564724E-11,7.29774612951707E-09,16.4174075100751
PEX1,1.44057020995121,5.26219838811438,9.60791453435801,1.82049481710333E-11,9.65252359097004E-09,16.1018526778532
